Date,Open,High,Low,Close,Adj Close,Volume
2021-10-20,42.220001,43.950001,42.099998,43.279999,43.279999,29871900
2021-10-21,42.650002,42.790001,40.410000,40.830002,40.830002,20499700
2021-10-22,41.259998,41.303001,38.900002,39.509998,39.509998,11914400
2021-10-25,40.910000,41.308998,40.529999,40.580002,40.580002,7522900
2021-10-26,40.450001,40.650002,39.990002,40.060001,40.060001,6142400
2021-10-27,38.070000,38.345001,37.500000,38.060001,38.060001,6527000
2021-10-28,39.689999,39.882999,37.340000,39.570000,39.570000,7176600
2021-10-29,39.439999,40.720001,39.345001,40.389999,40.389999,7049000
2021-11-01,39.880001,40.049999,38.619999,39.529999,39.529999,6042100
2021-11-02,40.750000,41.419998,40.570000,40.980000,40.980000,6106400
2021-11-03,40.169998,40.759998,39.110001,40.400002,40.400002,5160000
2021-11-04,39.825001,40.200001,38.959999,39.299999,39.299999,4282300
2021-11-05,39.610001,39.849998,39.020000,39.259998,39.259998,3022000
2021-11-08,42.150002,42.919998,41.970001,42.560001,42.560001,8171800
2021-11-09,43.689999,43.849998,42.549999,43.320000,43.320000,7763000
2021-11-10,43.919998,44.290001,41.840000,42.310001,42.310001,9954400
2021-11-11,41.570000,42.134998,41.450001,41.619999,41.619999,3247200
2021-11-12,40.880001,41.290001,39.950001,41.119999,41.119999,7672600
2021-11-15,41.790001,41.860001,40.730000,40.889999,40.889999,6204300
2021-11-16,38.919998,39.360001,37.910000,38.220001,38.220001,8119300
2021-11-17,38.639999,38.889999,38.026001,38.689999,38.689999,7245800
2021-11-18,37.810001,38.000000,36.259998,37.110001,37.110001,11930400
2021-11-19,37.000000,37.389999,36.910000,37.009998,37.009998,6827900
2021-11-22,37.345001,37.470001,35.610001,35.689999,35.689999,10940500
2021-11-23,36.480000,37.049999,36.209999,37.009998,37.009998,6421000
2021-11-24,35.830002,36.700001,35.720001,36.689999,36.689999,5460200
2021-11-26,34.799999,34.880001,34.320000,34.439999,34.439999,5211600
2021-11-29,36.500000,37.587002,36.209999,37.070000,37.070000,6690000
2021-11-30,37.261002,37.849998,35.980000,36.590000,36.590000,6746800
2021-12-01,37.340000,37.720001,36.020000,36.080002,36.080002,6683000
2021-12-02,35.970001,36.580002,35.610001,36.290001,36.290001,4670600
2021-12-03,36.060001,36.119999,32.689999,33.889999,33.889999,14049100
2021-12-06,30.709999,31.430000,30.340000,31.049999,31.049999,8017300
2021-12-07,32.439999,33.080002,31.920000,32.130001,32.130001,5064600
2021-12-08,31.950001,32.549999,31.665001,32.250000,32.250000,6224900
2021-12-09,31.160000,31.190001,30.000000,30.209999,30.209999,7156600
2021-12-10,31.469999,31.580000,30.010000,30.750000,30.750000,8618700
2021-12-13,30.350000,30.430000,28.969999,29.559999,29.559999,9171400
2021-12-14,29.740000,30.370001,29.431999,30.320000,30.320000,7042600
2021-12-15,30.240000,31.420000,29.510000,31.250000,31.250000,9616800
2021-12-16,30.889999,31.020000,30.129999,30.360001,30.360001,5015400
2021-12-17,29.530001,30.020000,28.780001,29.290001,29.290001,6895200
2021-12-20,28.980000,29.940001,28.830000,29.780001,29.780001,4705400
2021-12-21,30.850000,31.020000,30.622000,30.840000,30.840000,3273900
2021-12-22,30.910000,31.225000,30.730000,31.090000,31.090000,3629600
2021-12-23,30.780001,32.590000,30.719999,32.340000,32.340000,5727700
2021-12-27,32.490002,33.040001,32.270000,32.459999,32.459999,4773700
2021-12-28,31.059999,31.160000,29.938999,30.240000,30.240000,7170700
2021-12-29,29.990000,30.410000,29.709999,29.889999,29.889999,4398600
2021-12-30,29.830000,30.285000,29.740000,29.809999,29.809999,4659800
2021-12-31,30.360001,30.469999,28.850000,28.900000,28.900000,5522200
2022-01-03,29.750000,29.870001,28.820000,28.950001,28.950001,5205600
2022-01-04,29.670000,30.070000,28.700001,29.219999,29.219999,6253900
2022-01-05,29.260000,29.570000,27.514000,27.639999,27.639999,10718700
2022-01-06,27.000000,27.480000,26.799999,27.280001,27.280001,6675300
2022-01-07,26.379999,26.600000,25.549999,26.410000,26.410000,9618100
2022-01-10,25.080000,26.530001,24.879999,26.309999,26.309999,12742500
2022-01-11,26.090000,27.219999,25.990000,27.010000,27.010000,8372200
2022-01-12,27.660000,27.764999,27.320000,27.620001,27.620001,6993300
2022-01-13,27.920000,28.020000,26.639999,26.959999,26.959999,6406900
2022-01-14,26.650000,27.379999,26.540001,27.170000,27.170000,7138100
2022-01-18,26.139999,26.360001,25.969999,26.280001,26.280001,5490100
2022-01-19,26.590000,26.860001,26.120001,26.200001,26.200001,5608600
2022-01-20,26.740000,27.430000,26.719999,26.900000,26.900000,8127200
2022-01-21,24.280001,24.584999,23.639999,24.100000,24.100000,14546700
2022-01-24,21.170000,23.660000,20.902000,23.480000,23.480000,19580500
2022-01-25,23.100000,23.670000,22.650000,23.219999,23.219999,14666800
2022-01-26,24.209999,24.480000,23.080000,23.250000,23.250000,16864700
2022-01-27,23.219999,23.420000,22.309999,22.309999,22.309999,10216500
2022-01-28,23.330000,23.820000,23.004999,23.770000,23.770000,8518700
2022-01-31,23.480000,24.389999,23.389999,24.160000,24.160000,5328500
2022-02-01,24.480000,24.705000,24.000000,24.200001,24.200001,5361600
2022-02-02,24.120001,24.129999,23.260000,23.580000,23.580000,4222400
2022-02-03,22.959999,23.325001,22.770000,22.840000,22.840000,3561700
2022-02-04,23.760000,25.740000,23.580000,25.559999,25.559999,13078400
2022-02-07,27.010000,28.049999,26.889999,27.830000,27.830000,10917000
2022-02-08,27.440001,27.920000,26.879999,27.920000,27.920000,4576000
2022-02-09,27.760000,28.230000,27.500000,28.230000,28.230000,3774400
2022-02-10,27.379999,28.840000,27.379999,27.740000,27.740000,11501800
2022-02-11,27.420000,27.667000,26.430000,26.650000,26.650000,10060500
2022-02-14,26.860001,26.969999,26.280001,26.530001,26.530001,5875500
2022-02-15,27.879999,28.040001,27.580000,27.799999,27.799999,3897500
2022-02-16,27.459999,27.930000,27.240000,27.760000,27.760000,4197600
2022-02-17,26.469999,26.580000,25.639999,25.700001,25.700001,7666000
2022-02-18,25.370001,25.629999,24.790001,25.110001,25.110001,9924100
2022-02-22,23.549999,24.080000,23.469999,23.790001,23.790001,6807300
2022-02-23,24.430000,24.504999,23.424999,23.610001,23.610001,8870500
2022-02-24,22.136000,24.940001,22.080000,24.059999,24.059999,16154000
2022-02-25,24.660000,24.858999,24.170000,24.530001,24.530001,7294900
2022-02-28,24.490000,26.379999,24.480000,26.379999,26.379999,13625700
2022-03-01,27.962000,28.020000,27.150000,27.780001,27.780001,11998800
2022-03-02,27.549999,28.520000,27.299999,27.580000,27.580000,7551100
2022-03-03,27.559999,27.639999,26.260000,26.410000,26.410000,11761100
2022-03-04,25.959999,26.070000,24.510000,24.780001,24.780001,8665200
2022-03-07,24.570000,24.799999,23.320000,23.559999,23.559999,9189100
2022-03-08,24.299999,24.719999,23.930000,24.150000,24.150000,7486100
2022-03-09,26.480000,26.790001,26.219999,26.320000,26.320000,7202600
2022-03-10,24.530001,24.950001,24.350000,24.860001,24.860001,4262700
2022-03-11,24.799999,24.870001,23.980000,24.020000,24.020000,4507400
2022-03-14,24.320000,24.590000,24.090000,24.320000,24.320000,3494200
2022-03-15,24.350000,25.010000,24.139999,24.950001,24.950001,5141500
2022-03-16,25.360001,25.870001,24.660000,25.660000,25.660000,7204500
2022-03-17,25.700001,25.860001,25.469999,25.650000,25.650000,2516200
2022-03-18,25.400000,26.440001,25.290001,26.430000,26.430000,5576400
2022-03-21,25.969999,26.080000,25.530001,25.850000,25.850000,4770000
2022-03-22,26.930000,27.180000,26.540001,26.580000,26.580000,5701900
2022-03-23,26.540001,26.870001,26.309999,26.500000,26.500000,5161100
2022-03-24,26.910000,27.850000,26.770000,27.629999,27.629999,7568000
2022-03-25,28.208000,28.386999,27.629999,27.940001,27.940001,9335800
